id,acronym,parent,name
83,supraoptic decussation,,supraoptic decussation
84,medial lemniscus decussation,,medial lemniscus decussation
85,pyramidal decussation,,pyramidal decussation
93,Bed nucleus of the stria terminalis,,Bed nucleus of the stria terminalis
94,Pretectal region,,Pretectal region
95,Cornu ammonis 3,,Cornu ammonis 3
96,Dentate gyrus,,Dentate gyrus
97,Cornu ammonis 2,,Cornu ammonis 2
98,Cornu ammonis 1,,Cornu ammonis 1
99,Fasciola cinereum,,Fasciola cinereum
100,Subiculum,,Subiculum
108,Postrhinal cortex,,Postrhinal cortex
109,Presubiculum,,Presubiculum
110,Parasubiculum,,Parasubiculum
112,Perirhinal area 35,,Perirhinal area 35
113,Perirhinal area 36,,Perirhinal area 36
114,Medial entorhinal cortex,,Medial entorhinal cortex
115,Lateral entorhinal cortex,,Lateral entorhinal cortex
119,Vestibular apparatus,,Vestibular apparatus
120,Cochlea,,Cochlea
121,Cochlear nerve,,Cochlear nerve
122,Vestibular nerve,,Vestibular nerve
123,Ventral cochlear nucleus- granule cell layer,,Ventral cochlear nucleus- granule cell layer
125,4th ventricle,,4th ventricle
126,Dorsal cochlear nucleus- molecular layer,,Dorsal cochlear nucleus- molecular layer
127,Dorsal cochlear nucleus- fusiform and granule layer,,Dorsal cochlear nucleus- fusiform and granule layer
128,Dorsal cochlear nucleus- deep core,,Dorsal cochlear nucleus- deep core
129,acoustic striae,,acoustic striae
130,trapezoid body,,trapezoid body
131,Nucleus of the trapezoid body,,Nucleus of the trapezoid body
132,Superior paraolivary nucleus,,Superior paraolivary nucleus
133,Medial superior olive,,Medial superior olive
134,Lateral superior olive,,Lateral superior olive
135,Superior periolivary region,,Superior periolivary region
136,Ventral periolivary nuclei,,Ventral periolivary nuclei
137,Lateral lemniscus- ventral nucleus,,Lateral lemniscus- ventral nucleus
138,Lateral lemniscus- intermediate nucleus,,Lateral lemniscus- intermediate nucleus
139,Lateral lemniscus- dorsal nucleus,,Lateral lemniscus- dorsal nucleus
140,lateral lemniscus- commissure,,lateral lemniscus- commissure
141,lateral lemniscus- unspecified,,lateral lemniscus- unspecified
142,Inferior colliculus- dorsal cortex,,Inferior colliculus- dorsal cortex
143,Inferior colliculus- central nucleus,,Inferior colliculus- central nucleus
145,Inferior colliculus- external cortex,,Inferior colliculus- external cortex
146,inferior colliculus- brachium,,inferior colliculus- brachium
150,Medial geniculate body- marginal zone,,Medial geniculate body- marginal zone
151,Primary auditory area,,Primary auditory area
152,Secondary auditory area- dorsal part,,Secondary auditory area- dorsal part
153,Secondary auditory area- ventral part,,Secondary auditory area- ventral part
157,external medullary lamina- auditory radiation,,external medullary lamina- auditory radiation
158,Ventral cochlear nucleus- anterior part,,Ventral cochlear nucleus- anterior part
159,Ventral cochlear nucleus- posterior part,,Ventral cochlear nucleus- posterior part
160,Ventral cochlear nucleus- cap area,,Ventral cochlear nucleus- cap area
162,Spiral ganglion,,Spiral ganglion
163,Nucleus sagulum,,Nucleus sagulum
164,Reticular (pre)thalamic nucleus- auditory segment,,Reticular (pre)thalamic nucleus- auditory segment
180,lateral olfactory tract,,lateral olfactory tract
181,Piriform cortex- layer 1,,Piriform cortex- layer 1
182,Piriform cortex- layer 2,,Piriform cortex- layer 2
183,Piriform cortex- layer 3,,Piriform cortex- layer 3
184,Nucleus accumbens- core,,Nucleus accumbens- core
187,Substantia nigra- reticular part,,Substantia nigra- reticular part
188,Substantia nigra- compact part,,Substantia nigra- compact part
189,Substantia nigra- lateral part,,Substantia nigra- lateral part
192,Nucleus accumbens- shell,,Nucleus accumbens- shell
193,Ventral pallidum,,Ventral pallidum
195,Globus pallidus external- medial part,,Globus pallidus external- medial part
196,Ventral tegmental area,,Ventral tegmental area
197,Caudate putamen,,Caudate putamen
198,Globus pallidus external- lateral part,,Globus pallidus external- lateral part
199,Ventral striatal region- unspecified,,Ventral striatal region- unspecified
200,Reticular (pre)thalamic nucleus- unspecified,,Reticular (pre)thalamic nucleus- unspecified
201,Peripeduncular nucleus,,Peripeduncular nucleus
204,Pregeniculate nucleus,,Pregeniculate nucleus
205,Dorsal lateral geniculate nucleus,,Dorsal lateral geniculate nucleus
206,Lateral habenular nucleus,,Lateral habenular nucleus
207,Medial habenular nucleus,,Medial habenular nucleus
208,Posterior intralaminar nucleus,,Posterior intralaminar nucleus
