id	acronym	name	parent
302	15856	Stri	intermediate_stratum_of_Str	15853
303	15857	Put	putamen	15856
304	15858	VStr	ventral_striatum	15856
305	15859	IPAC	interstitial_nucleus_of_the_posterior_limb_of_the_anterior_commissure	15856
306	15860	LSS	laterostriatal_stripe	15856
307	15861	Strs	superficial_stratum_of_Str	15853
308	15862	TuStr	striatal_part_of_olfactory_tuberculum	15861
309	15863	TuStr1	plexiform_layer_of_TuStr	15862
310	15864	TuStr2	corticoid_layer_of_TuStr	15862
311	15865	TuStr3	polymorph_layer_of_TuStr	15862
312	15866	ICjStr	striatal_islands_of_Calleja	15861
313	15867	ASPall	subpallial_amygdala	15751
314	15868	AStr	striatal_amygdala	15867
315	15869	AStrv	ventricular_zone_of_AStr	15868
316	15870	AStrm	mantle_zone_of_AStr	15868
317	15871	AStrp	periventricular_stratum_of_AStr	15870
318	15872	ASt	amygdalo-striatal_transition	15871
319	15873	AStri	intermediate_stratum_of_AStr	15870
320	15874	CeL	central_amygdalar_nucleus,_lateral_part	15873
321	15875	CeC	central_amygdalar_nucleus,_capsular_part	15873
322	15876	IA	intercalated_amygdaloid_nuclei	15873
323	15877	AStrs	superficial_stratum_of_AStr	15870
324	15878	APal	pallidal_amygdala	15867
325	15879	APalv	ventricular_zone_of_APal	15878
326	15880	APalm	mantle_zone_of_APal	15878
327	15881	APalp	periventricular_stratum_of_APal	15880
328	15882	BSTLA	bed_nucleus_of_stria_terminalis,_lateral_amygdaloid_division	15881
329	15883	APali	intermediate_stratum_of_APal	15880
330	15884	CeM	central_amygdaloid_nucleus,_medial_part	15883
331	15885	APals	superficial_stratum_of_APal	15880
332	15886	ADg	diagonal_amygdala	15867
333	15887	ADgv	ventricular_zone_of_ADg	15886
334	15888	ADgm	mantle_zone_of_ADg	15886
335	15889	ADgp	periventricular_stratum_of_ADg	15888
336	15890	BSTMA	bed_nucleus_of_the_stria_terminalis,_medial_amygdaloid_division	15889
337	15891	ADgi	intermediate_stratum_of_ADg	15888
338	15892	ADgs	superficial_stratum_of_ADg	15888
339	15893	AHy	hypothalamic_amygdala	15867
340	15894	AHyv	ventricular_zone_of_AHy	15893
341	15895	AHym	mantle_zone_of_AHy	15893
342	15896	AHyp	periventricular_stratum_of_AHy	15895
343	15897	AHyi	intermediate_stratum_of_AHy	15895
344	15898	AHys	superficial_stratum_of_AHy	15895
345	15899	MePD	medial_amygdala,_posterodorsal_part	15898
346	15900	MePV	medial_amygdala,_posteroventral_part	15898
347	15901	MeAD	medial_amygdala,_anterodorsal_part	15898
348	15902	MeAV	medial_amygdala,_anteroventral_part	15898
349	15903	Pall	pallium	15750
350	20548	Pallv	ventricular_zone_of_Pall	15903
351	20550	Pallm	mantle_zone_of_Pall	15903
352	15904	VPall	ventral_pallium	15903
353	15905	OB	olfactory_bulb,_principal_part	15904
354	15906	OBv	ventricular_zone_of_OB	15905
355	15907	OBm	mantle_zone_of_OB	15905
356	15908	OBp	periventricular_stratum_of_OB	15907
357	15909	OB-Gr	OB_granular_layer	15908
358	15910	OB-Ipl	OB_inner_plexiform_layer	15908
359	15911	OBi	intermediate_stratum_of_OB	15907
360	15912	OB-Mtr	OB_mitral_cell_layer	15911
361	15913	OB-Opl	OB_outer_plexiform_layer	15911
362	15914	OBs	superficial_stratum_of_OB	15907
363	15915	OB-Glom	OB_glomerular_layer	15914
364	15916	OB-OF	OB_olfactory_fiber_layer	15914
365	15917	AOV	anterior_olfactory_area,_ventral_part	15904
366	15918	AOVv	ventricular_zone_of_AOV	15917
367	15919	AOVm	mantle_zone_of_AOV	15917
368	15920	AOVp	periventricular_stratum_of_AOV	15919
369	15921	AOVi	intermediate_stratum_of_AOV	15919
370	15922	AOVs	superficial_stratum_of_AOV	15919
371	15923	AOV1	layer_1_of_AOV_cortex	15922
372	15924	AOV2	layer_2_of_AOV_cortex	15922
373	15925	AOV3	layer_3_of_AOV_cortex	15922
374	15926	AOVE	external_part_of_AOV	15922
375	15927	Nv	navicular_nucleus	15922
376	15928	VPrP	ventropallial_prepiriform_area	15904
377	15929	VPrPv	ventricular_zone_of_VPrP	15928
378	15930	VPrPm	mantle_zone_of_VPrP	15928
379	15931	VPrPp	periventricular_stratum_of_VPrP	15930
380	15932	VPrPi	intermediate_stratum_of_VPrP	15930
381	15933	BEC	bed_nucleus_of_the_external_capsule	15932
382	15934	DEn	dorsal_endopiriform_nucleus	15932
383	15935	VEn	ventral_endopiriform_nucleus	15932
384	15936	VPrPs	superficial_stratum_of_VPrP	15930
385	15937	VPrP1	layer_1_of_VPrP_cortex	15936
386	15938	VPrP2	layer_2_of_VPrP_cortex	15936
387	15939	VPrP3	layer_3_of_VPrP_cortex	15936
388	15940	VAP	ventropallial_amygdalopiriform_area	15904
389	15941	VAPv	ventricular_zone_of_the_VAP	15940
390	15942	VAPm	mantle_zone_of_VAP	15940
391	15943	VAPp	periventricular_stratum_of_the_VAP	15942
392	15944	La	lateral_amygdaloid_nucleus	15943
393	15945	AHi	amygdalohippocampal_area	15943
394	15946	VAPi	intermediate_stratum_of_the_VAP	15942
395	15947	BMA	basomedial_amygdaloid_nucleus,_anterior_part	15946
396	15948	BMP	basomedial_amygdaloid_nucleus,_posterior_part	15946
